Entity,Year,Primary energy consumption per capita (kWh/person)
Afghanistan,1980,623.9286
Afghanistan,1981,786.8368
Afghanistan,1982,926.65125
Afghanistan,1983,1149.1959
Afghanistan,1984,1121.5729
Afghanistan,1985,1067.0709
Afghanistan,1986,1097.0397
Afghanistan,1987,1790.467
Afghanistan,1988,3139.1848
Afghanistan,1989,3003.0044
Afghanistan,1990,2968.316
Afghanistan,1991,1293.8619
Afghanistan,1992,760.34247
Afghanistan,1993,650.20715
Afghanistan,1994,570.4033
Afghanistan,1995,452.4602
Afghanistan,1996,425.90643
Afghanistan,1997,390.01944
Afghanistan,1998,365.12076
Afghanistan,1999,350.34662
Afghanistan,2000,302.59482
Afghanistan,2001,236.89185
Afghanistan,2002,210.86215
Afghanistan,2003,229.96822
Afghanistan,2004,204.23123
Afghanistan,2005,252.06912
Afghanistan,2006,304.4209
Afghanistan,2007,354.27988
Afghanistan,2008,607.8335
Afghanistan,2009,975.0481
Afghanistan,2010,1182.8918
Afghanistan,2011,1436.1143
Afghanistan,2012,1324.1211
Afghanistan,2013,1060.7925
Afghanistan,2014,868.5762
Afghanistan,2015,970.0803
Afghanistan,2016,862.79114
Afghanistan,2017,829.3119
Afghanistan,2018,924.25085
Afghanistan,2019,802.6125
Afghanistan,2020,702.888
Afghanistan,2021,676.6956
Africa,1965,2228.4226
Africa,1966,2275.4866
Africa,1967,2241.349
Africa,1968,2307.324
Africa,1969,2310.408
Africa,1970,2443.6565
Africa,1971,2541.196
Africa,1972,2618.0364
Africa,1973,2761.8003
Africa,1974,2822.0044
Africa,1975,2908.5146
Africa,1976,3070.0852
Africa,1977,3150.4111
Africa,1978,3179.8035
Africa,1979,3364.4229
Africa,1980,3514.0024
Africa,1981,3831.0835
Africa,1982,3963.7476
Africa,1983,3966.5237
Africa,1984,3976.9429
Africa,1985,4023.1855
Africa,1986,3990.7017
Africa,1987,4004.2095
Africa,1988,4169.531
Africa,1989,4063.9646
Africa,1990,4086.7883
Africa,1991,3977.031
Africa,1992,3935.4905
Africa,1993,3847.7888
Africa,1994,3879.7673
Africa,1995,3937.2075
Africa,1996,3937.3643
Africa,1997,3923.2903
Africa,1998,3888.7034
Africa,1999,3911.6365
Africa,2000,3902.6162
Africa,2001,3943.5334
Africa,2002,3896.3623
Africa,2003,3984.0361
Africa,2004,4171.859
Africa,2005,4079.6245
Africa,2006,4054.0195
Africa,2007,4102.9673
Africa,2008,4237.09
Africa,2009,4199.2246
Africa,2010,4221.057
Africa,2011,4149.5293
Africa,2012,4207.9165
Africa,2013,4216.2183
Africa,2014,4220.6875
Africa,2015,4200.331
Africa,2016,4209.2603
Africa,2017,4242.3955
Africa,2018,4239.753
Africa,2019,4225.526
Africa,2020,3908.335
Africa,2021,4136.617
Africa,2022,4079.04
Africa,2023,3969.2842
Albania,1980,16237.572
Albania,1981,15870.437
Albania,1982,15693.041
Albania,1983,16071.561
Albania,1984,15946.768
Albania,1985,15713.385
Albania,1986,15176.155
Albania,1987,15084.123
Albania,1988,15142.1455
Albania,1989,14317.034
Albania,1990,10214.598
Albania,1991,8549.044
Albania,1992,7468.515
Albania,1993,6555.686
Albania,1994,6243.8374
Albania,1995,6919.9175
Albania,1996,7645.6387
Albania,1997,7020.8584
Albania,1998,7602.2305
Albania,1999,6892.834
Albania,2000,9029.4375
Albania,2001,8635.532
Albania,2002,9443.555
Albania,2003,10756.612
Albania,2004,11586.951
Albania,2005,11545.616
Albania,2006,10976.728
Albania,2007,9534.874
Albania,2008,10499.327
Albania,2009,11524.426
Albania,2010,12377.504
Albania,2011,10854.649
Albania,2012,10652.809
Albania,2013,13392.774
Albania,2014,11809.459
Albania,2015,11824.314
Albania,2016,13823.747
Albania,2017,12802.36
Albania,2018,14609.701
Albania,2019,11585.555
Albania,2020,11158.003
Albania,2021,14100.432
Algeria,1965,2005.6638
Algeria,1966,2365.146
Algeria,1967,2190.2102
Algeria,1968,2300.4348
Algeria,1969,2486.0378
Algeria,1970,2664.477
Algeria,1971,2815.8816
Algeria,1972,3092.01
Algeria,1973,3601.3103
Algeria,1974,3887.4546
Algeria,1975,4475.1055
Algeria,1976,4975.73
Algeria,1977,5265.062
Algeria,1978,6429.068
Algeria,1979,8176.3833
Algeria,1980,9452.979
Algeria,1981,11119.953
